nome,cpf,idade,data,endereco,estado
Sr. Vitor Gabriel Silva,640.719.385-01,90,06/12/1933,"trevo emanuel silva, 482
vila tirol
47847085 pereira / ap",RONDÔNIA
Calebe Santos,651.297.384-46,40,06/03/1984,"recanto moraes, 7
ernesto nascimento
96497-621 da rosa / pb",RIO DE JANEIRO
Evelyn Pires,107.643.528-90,80,09/03/1944,"travessa de caldeira, 237
santa terezinha
84390313 sales / to",SERGIPE
Maria Julia Castro,164.750.293-43,76,12/04/1947,"residencial de pereira, 20
jatobá
62127-165 gomes de santos / al",PERNAMBUCO
Arthur Da Rosa,085.167.249-30,53,16/04/1970,"parque almeida, 66
vila suzana segunda seção
09805-686 santos / se",SANTA CATARINA
Juan Pereira,520.876.319-21,68,25/10/1955,"rodovia de pereira, 51
estrela
44830637 mendes de moraes / ba",RIO DE JANEIRO
Dra. Ana Laura Ribeiro,210.764.589-20,69,09/05/1954,"esplanada lavínia ramos
são francisco
39467-536 da mata / sp",DISTRITO FEDERAL
Maria Clara Araújo,960.342.175-80,41,14/03/1983,"praça cavalcanti, 65
conjunto celso machado
97788-105 vieira / ro",PARANÁ
Vitória Oliveira,302.568.479-83,31,10/03/1993,"esplanada monteiro, 88
conjunto paulo vi
06403-281 moraes / go",RORAIMA
Benjamin Oliveira,451.896.703-84,49,16/05/1974,"ladeira monteiro, 57
vila primeiro de maio
76835-491 moura dos dourados / ce",ACRE
Pietro Barros,843.095.172-50,51,19/08/1972,"recanto luiz miguel jesus, 35
vila aeroporto jaraguá
50536-588 oliveira de goiás / pb",MINAS GERAIS
Samuel Cavalcanti,520.679.841-01,89,26/11/1934,"ladeira de porto, 38
nova america
91782042 barros de da mata / to",RORAIMA
Ian Da Costa,384.172.609-78,23,21/01/2001,"via de jesus, 57
vila da amizade
93849-206 correia / pb",GOIÁS
Dr. Emanuel Costa,736.581.942-19,55,09/03/1969,"lago castro, 94
mariano de abreu
24415-900 porto / rj",GOIÁS
Larissa Da Cruz,128.953.704-60,83,22/11/1940,"setor isadora da rosa, 583
chácara leonina
20125668 teixeira / rr",MATO GROSSO DO SUL
Diogo Carvalho,078.153.294-97,83,10/03/1941,"viaduto pedro lucas cavalcanti, 49
tiradentes
27653-901 rezende / rs",MARANHÃO
Sr. Anthony Almeida,305.184.962-60,37,03/02/1987,"rua vitor hugo pinto, 21
anchieta
08712074 ramos / rj",BAHIA
