nome,cpf,idade,data,endereco,estado,pais,salario,nivel_educacao,numero_filhos,estado_civil,anos_experiencia,area_atuacao
Vitor Lima,612.570.493-99,56,19/01/1968,"Estrada Barbosa, 255
Vila Tirol
53133-647 Barros / PR",Pará,Brasil,13550.54,Ensino Médio,0,Casado,17,Tecnologia
Ana Clara Martins,648.129.530-06,33,02/12/1990,"Favela Duarte, 44
Bonfim
37709685 Farias das Flores / SP",Santa Catarina,Brasil,10645.16,,3,,15,
Heloísa da Mata,340.981.256-33,49,31/01/1975,"Pátio de Vieira, 83
Jonas Veiga
53832-319 Cardoso / PR",Rio Grande do Norte,Brasil,3124.72,Ensino Médio,3,Casado,3,Indústria
Juan Novaes,097.168.524-01,54,26/08/1969,"Morro de Pereira
Piraja
36797-897 Rocha / PA",Minas Gerais,Brasil,7534.6,Ensino Médio,0,Casado,18,Tecnologia
Srta. Sarah Peixoto,079.283.516-68,61,19/03/1963,"Área Marina Martins, 34
São Sebastião
10696-521 das Neves / PE",Amapá,Brasil,4067.73,Ensino Fundamental,1,Solteiro,16,Comércio
Maria da Rocha,140.628.739-31,30,09/12/1993,"Esplanada de Fernandes, 58
Marieta 3ª Seção
64664398 Gomes / PA",Alagoas,Brasil,6809.94,Ensino Médio,1,Casado,9,Tecnologia
Ana Júlia Silveira,718.204.536-26,54,24/06/1969,"Favela Maria Vitória Jesus, 3
Vila Rica
09722493 Correia / BA",Pará,Brasil,9025.74,Ensino Médio,1,Solteiro,25,Indústria
Mariane Gomes,789.351.240-79,28,25/03/1996,"Área da Cunha
Santo Antônio
54159049 Cardoso dos Dourados / TO",Tocantins,Brasil,9493.67,Ensino Superior,1,Casado,6,Comércio
Carlos Eduardo Gonçalves,958.012.734-41,21,11/06/2002,"Área Pinto, 5
Vila Maloca
84357-045 Martins Alegre / RN",,Brasil,3057.18,Ensino Médio,1,Divorciado,1,Educação
Brenda Barros,240.917.853-79,30,20/06/1993,"Condomínio de Ribeiro
Granja Werneck
34811-809 das Neves / MG",Tocantins,Brasil,4072.6,Ensino Médio,0,Solteiro,11,Educação
Emilly Souza,175.804.923-50,24,21/02/2000,"Loteamento Luiza Rodrigues, 808
Coqueiros
47817796 Jesus / RR",Rio Grande do Norte,Brasil,4039.96,Ensino Fundamental,1,Solteiro,0,Indústria
Esther Duarte,624.183.507-62,35,02/08/1988,"Condomínio Gustavo Henrique da Mota
Estoril
98388-619 Correia de Goiás / PB",Amazonas,Brasil,3457.97,Ensino Fundamental,1,Viúvo,3,Indústria
Maria Luiza Cardoso,468.507.921-30,28,18/01/1996,"Estação de Correia, 370
Novo São Lucas
07966250 Farias / PE",,Brasil,11199.84,,0,,0,
Nina Moura,589.713.620-30,29,22/02/1995,"Passarela Costa, 79
Bela Vitoria
74834118 Rezende / RJ",Rio Grande do Norte,Brasil,3913.59,Ensino Médio,1,Casado,3,Educação
Enrico Monteiro,985.630.742-29,62,06/06/1961,"Vila Santos, 1
Nova Cintra
25750-181 Porto / CE",,Brasil,5445.06,Ensino Médio,1,Casado,0,Saúde
